account_name,broker_name,exchange,symbol,company_name,isin,transaction_type,trade_date,quantity,price,charges,notes
Sesha,icicidirect,NSE,ICIBAN,ICICI BANK LIMITED,INE090A01021,SELL,2024-06-20,100,1146.70,342.90,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,ICIBAN,ICICI BANK LIMITED,INE090A01021,SELL,2024-06-20,9,1146.75,30.86,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,ICIBAN,ICICI BANK LIMITED,INE090A01021,SELL,2024-06-20,1,1146.60,3.43,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,ICIBAN,ICICI BANK LIMITED,INE090A01021,SELL,2024-06-20,2,1146.70,6.86,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,ICIBAN,ICICI BANK LIMITED,INE090A01021,SELL,2024-06-20,63,1146.70,216.03,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,BUY,2021-06-14,575,59.50,102.18,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,BUY,2021-06-14,1125,59.50,214.92,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,BUY,2021-06-30,1193,54.80,210.26,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,BUY,2021-06-30,631,54.80,103.27,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,BUY,2021-08-03,1900,51.05,304.69,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,BSE,IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,BUY,2021-10-11,1000,48.20,150.78,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,BUY,2021-10-13,1000,49.20,153.19,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,BUY,2022-04-07,2350,42.95,316.35,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,IRIBUS,IRIS REGTECH SOLUTIONS LIMITED,INE864K01010,BUY,2025-11-03,12,322.10,11.54,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,IRIBUS,IRIS REGTECH SOLUTIONS LIMITED,INE864K01010,BUY,2025-11-03,47,322.15,45.23,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,IRIBUS,IRIS REGTECH SOLUTIONS LIMITED,INE864K01010,BUY,2025-11-03,90,322.25,86.64,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,IRIBUS,IRIS REGTECH SOLUTIONS LIMITED,INE864K01010,BUY,2025-11-03,19,322.25,18.29,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,IRIBUS,IRIS REGTECH SOLUTIONS LIMITED,INE864K01010,BUY,2025-11-03,229,322.25,242.46,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,IRIBUS,IRIS REGTECH SOLUTIONS LIMITED,INE864K01010,BUY,2025-11-03,53,321.50,50.90,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,icicidirect,NSE,ITC,ITC LIMITED,INE154A01025,BUY,2021-03-03,41,210.60,25.83,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,ITC,ITC LIMITED,INE154A01025,BUY,2021-03-03,219,210.60,146.19,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,ITC,ITC LIMITED,INE154A01025,BUY,2021-03-03,1,210.60,0.63,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,ITC,ITC LIMITED,INE154A01025,BUY,2021-03-10,265,207.30,172.56,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,ITC,ITC LIMITED,INE154A01025,BUY,2021-03-17,261,210.10,172.26,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,ITC,ITC LIMITED,INE154A01025,BUY,2021-03-31,76,217.80,49.50,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,ITC,ITC LIMITED,INE154A01025,BUY,2021-03-31,176,217.85,122.92,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,ITC,ITC LIMITED,INE154A01025,BUY,2021-07-14,245,202.40,155.10,"Imported from broker transaction history (icicidirect), segment Rolling, STT Paid"
Sesha,icicidirect,NSE,ITC,ITC LIMITED,INE154A01025,SELL,2024-06-20,240,424.85,304.91,"Imported from broker transaction history (icicidirect), segment TT, STT Paid"
Sesha,Demerger,NSE,ITCHOT,ITC HOTELS LIMITED,INE379A01028,BUY,2021-03-03,2,285.42,55.09,"Imported from broker transaction history (Demerger), segment Rolling, STT Paid"
Sesha,Demerger,NSE,ITCHOT,ITC HOTELS LIMITED,INE379A01028,BUY,2021-03-03,1,393.68,55.09,"Imported from broker transaction history (Demerger), segment Rolling, STT Paid"
Sesha,Demerger,NSE,ITCHOT,ITC HOTELS LIMITED,INE379A01028,BUY,2021-03-10,26,280.94,54.93,"Imported from broker transaction history (Demerger), segment Rolling, STT Paid"
Sesha,Demerger,NSE,ITCHOT,ITC HOTELS LIMITED,INE379A01028,BUY,2021-03-17,26,284.74,55.06,"Imported from broker transaction history (Demerger), segment Rolling, STT Paid"
Sesha,Demerger,NSE,ITCHOT,ITC HOTELS LIMITED,INE379A01028,BUY,2021-03-31,25,295.22,54.88,"Imported from broker transaction history (Demerger), segment Rolling, STT Paid"
